,0
0,-0.9607175335717664
1,-1.008
2,0.992
3,-1.0
4,-1.008
5,0.976
6,-1.008
7,-0.37085168236296073
8,0.992
9,-1.008
10,0.992
11,0.992
12,-0.9762497670092497
13,-0.8507765883200576
14,0.9323991487939927
15,-0.07574021675623091
16,0.992
17,-1.008
18,0.96
19,0.992
20,-0.12532312540341906
21,1.0
22,0.8479999999999999
23,-1.008
24,0.9529866426387297
25,0.968
26,-0.08604508176907363
27,0.4723092775395221
28,0.9518090296473709
29,0.9039999999999999
30,-0.26197706642799695
31,1.0
32,0.7713450386447248
33,0.9828597381157349
34,0.992
35,-0.2618795390895235
36,-0.9366474782054717
37,-0.6753873928918352
38,0.9775359486901054
39,0.9084231225579749
40,0.992
41,-0.6127188683517729
42,-1.008
43,-0.35297660631329775
44,0.879760434631751
45,-1.008
46,-0.951286549739055
47,-1.008
48,-1.008
49,0.952
50,0.9466050509206618
51,-0.9587095425060059
52,0.530224673531849
53,0.984
54,0.992
55,0.9995677550059633
56,1.0
57,0.7886705162208927
58,-1.008
59,0.8023327687139974
60,-0.9089399567424412
61,0.984
62,0.966768499680416
63,0.976
64,-0.5829131273196605
65,-0.9430606135664527
66,0.992
67,0.976
68,0.9402821578145587
69,0.8829517174456155
70,-1.008
71,-0.1419587538027378
72,-0.81195966337546
73,-0.9324088835563776
74,0.9300821798530852
75,-0.3881758930033791
76,0.9039999999999999
77,-1.008
78,0.17967300916886858
79,-1.008
80,-1.008
81,-1.008
82,-1.008
83,-0.7082989555579424
84,-1.008
85,-1.008
86,0.9712407530594039
87,-0.9891740025621508
88,0.9279999999999999
89,1.0
90,0.9279999999999999
91,0.9140532140487112
92,0.992
93,0.5288673941802523
94,-0.942239384736096
95,1.0
96,-1.008
97,0.9359999999999999
98,0.9525359778338869
99,0.9841865047877735
