,0
0,-1.01
1,-1.01
2,-0.6994152373539937
3,-1.01
4,-1.01
5,0.96
6,-1.01
7,-1.01
8,0.3974718201307586
9,-0.10173073232082183
10,0.99
11,1.0
12,-1.01
13,-0.39448315454201227
14,0.6065094165302769
15,0.7243837530499305
16,0.9952745191563932
17,-0.9442578328207755
18,0.988532765385745
19,0.8800092481421897
20,1.0
21,1.0
22,-1.01
23,-1.01
24,0.9754999783058274
25,-0.12525226792778643
26,-1.01
27,1.0
28,1.0
29,-1.0
30,-1.01
31,-1.01
32,0.363722572163888
33,0.45946109747711916
34,-1.01
35,-0.9707009297304371
36,-0.9797252144521696
37,-1.01
38,-0.9428880741110321
39,0.12174569873022296
40,0.9846632370644955
41,0.9299999999999999
42,-0.9975007225131519
43,0.99
44,-1.01
45,-0.7120896469655221
46,-1.01
47,0.08076452905170384
48,1.0
49,-1.01
50,-1.0
51,-0.9635972408320708
52,-1.01
53,-1.01
54,-1.01
55,-1.01
56,-1.01
57,-0.9526122961127805
58,-1.01
59,-1.01
60,-1.01
61,-1.01
62,-1.01
63,0.6806111873126713
64,-1.01
65,-0.6024306947918505
66,0.9668780486801104
67,-1.01
68,-0.9315952409692312
69,-1.01
70,-1.01
71,-1.01
72,-1.01
73,-1.01
74,0.9336076958021879
75,-0.7931548015874532
76,-1.01
77,-1.01
78,0.826986991423803
79,0.22075946382125888
80,-1.01
81,-1.01
82,-1.01
83,0.5163145542446759
84,-1.01
85,0.07700031774582176
86,-1.01
87,0.9529834366694707
88,1.0
89,-0.9658208851602368
90,-1.007683632587585
91,0.98
92,0.97
93,1.0
94,-0.9563553362974291
95,-0.15089733481776663
96,0.7860868044615551
97,-1.01
98,1.0
99,0.42599497185745955
