,0
0,-1.008
1,-1.008
2,-0.9432270589436317
3,-1.008
4,-1.008
5,-0.5910644309319286
6,-0.4406341739767166
7,-1.008
8,-1.008
9,-1.008
10,-1.008
11,-1.008
12,-1.008
13,-0.6938105913317265
14,1.0
15,-1.008
16,-1.008
17,-1.008
18,-0.66203504369126
19,-1.008
20,-1.008
21,-1.008
22,-1.008
23,-1.008
24,-1.008
25,-0.4380605425420445
26,-0.8043986962166515
27,-0.8042165585135722
28,-1.008
29,0.992
30,0.3674512469762182
31,0.968
32,-0.795509250429968
33,-1.008
34,-0.02900972465606599
35,1.0
36,-0.9929754443255995
37,0.025413254862445035
38,-0.8025390047128763
39,-0.23812943721341787
40,-0.9865921390440602
41,-1.008
42,-1.008
43,-1.008
44,0.9781218926083467
45,-1.008
46,-1.008
47,-1.008
48,-1.008
49,1.0
50,1.0
51,1.0
52,0.0632939288674491
53,-0.5983160587062596
54,-0.9226733715832193
55,1.0
56,-0.022712608860116786
57,0.953169057178424
58,-0.2560545221854338
59,0.0032508565517879173
60,0.7115326953077342
61,-1.008
62,0.9493011315761613
63,-1.008
64,-0.9966225389322324
65,-0.5615448535767504
66,-0.14527832311174713
67,1.0
68,0.9163411643745429
69,1.0
70,0.8373545001218816
71,-1.008
72,-0.29107780428697666
73,0.984
74,-0.0416206311116321
75,1.0
76,1.0
77,0.7506861325082701
78,-0.8403444017655333
79,-0.8451725356049407
80,-1.008
81,-1.008
82,-1.008
83,0.992
84,-1.008
85,-1.008
86,-0.9949710308325682
87,0.3423618076891055
88,-1.008
89,-1.008
90,-1.008
91,0.9635407922871164
92,-1.008
93,0.20306542632246521
94,-0.06139091398388617
95,-0.7659871633410953
96,-1.008
97,1.0
98,1.0
99,0.7530801303812347
